 1,1.010696,0.00000,67371008,F,F,,HS CAN,,110,F,F,6E,A8,EC,38,41,D4,BC,F,,
 2,1.054677,0.04398,67371008,F,F,,MS CAN,,123,F,F,23,23,23,27,21,,,,,
 3,1.078674,0.02400,67371008,F,F,,HS CAN,,110,F,F,1E,52,65,8B,AD,7C,9C,5,,
 4,1.100698,0.02202,67371008,F,F,,SW CAN,,240,F,F,45,34,53,22,,,,,,
 5,1.117726,0.01703,67371008,F,F,,J1850 VPW,,FF,32,43,42,33,B9,57,
 6,1.122342,0.00462,67371008,F,F,,J1850 PWM,,4,F1,F2,23,43,3,BD,23,0,
 7,1.159838,0.03750,67371008,F,F,,MS CAN,,123,F,F,23,23,23,7F,4C,,,,,
 8,1.169218,0.00938,67371008,F,F,,HS CAN,,110,F,F,E0,A2,8D,2D,59,24,89,F5,,
 9,1.220050,0.05083,67371008,F,F,,HS CAN,,110,F,F,3B,1B,FF,F0,AA,87,C8,AA,,
 10,1.224803,0.00475,67371008,F,F,,SW CAN,,240,F,F,45,34,53,84,,,,,,
 11,1.229678,0.00488,67371008,F,F,,J1850 PWM,,4,F1,F2,23,43,3,6B,23,3,
 12,1.229856,0.00018,67371008,F,F,,ISO9141/KW2K,,23,32,23,44,3,8,C7,
 13,1.236099,0.00624,67371008,F,F,,J1850 VPW,,FF,32,43,42,33,27,98,
 14,1.275910,0.03981,67371008,F,F,,MS CAN,,123,F,F,23,23,23,F0,19,,,,,
 15,1.281262,0.00535,67371008,F,F,,MS CAN,,110,F,F,12,1,,,,,,,,
 16,1.288712,0.00745,67371008,F,F,,HS CAN,,110,F,F,64,64,2B,35,F2,54,CB,42,,
 17,1.374685,0.08597,67371008,F,F,,HS CAN,,110,F,F,3F,58,4A,68,1D,1,C2,E8,,
 18,1.376973,0.00229,67371008,F,F,,SW CAN,,240,F,F,45,34,53,21,,,,,,
 19,1.402090,0.02512,67371008,F,F,,J1850 VPW,,FF,32,43,42,33,A8,F5,
 20,1.405021,0.00293,67371008,F,F,,J1850 PWM,,4,F1,F2,23,43,3,BB,23,3,
 21,1.438634,0.03361,67371008,F,F,,MS CAN,,123,F,F,23,23,23,6,92,,,,,
 22,1.448587,0.00995,67371008,F,F,,HS CAN,,123,F,F,23,12,0,0,0,,,,,
 23,1.462178,0.01359,67371008,F,F,,HS CAN,,110,F,F,5B,A7,FE,B3,F,84,BF,AA,,
 24,1.463942,0.00176,67371008,F,F,,ISO9141/KW2K,,23,32,23,44,3,D,CC,
 25,1.500173,0.03623,67371008,F,F,,SW CAN,,240,F,F,45,34,53,C7,,,,,,
 26,1.511322,0.01115,67371008,F,F,,J1850 PWM,,4,F1,F2,23,43,3,FD,23,0,
 27,1.518317,0.00700,67371008,F,F,,J1850 VPW,,FF,32,43,42,33,C3,9,
 28,1.523195,0.00488,67371008,F,F,,HS CAN,,110,F,F,80,C3,CA,AF,C1,3B,F4,C1,,
 29,1.555435,0.03224,67371008,F,F,,MS CAN,,123,F,F,23,23,23,16,D7,,,,,
 30,1.581954,0.02652,67371008,F,F,,MS CAN,,110,F,F,12,1,,,,,,,,
 31,1.588117,0.00616,67371008,F,F,,HS CAN,,110,F,F,8B,F9,C0,26,F8,E2,AB,B3,,
 32,1.624278,0.03616,67371008,F,F,,SW CAN,,240,F,F,45,34,53,A7,,,,,,
 33,1.630955,0.00668,67371008,F,F,,J1850 VPW,,FF,32,43,42,33,15,A0,
 34,1.654978,0.02402,67371008,F,F,,J1850 PWM,,4,F1,F2,23,43,3,CD,23,0,
 35,1.672408,0.01743,67371008,F,F,,MS CAN,,123,F,F,23,23,23,B6,BC,,,,,
 36,1.683598,0.01119,67371008,F,F,,HS CAN,,110,F,F,5E,89,41,21,61,30,86,EA,,
 37,1.691373,0.00777,67371008,F,F,,ISO9141/KW2K,,23,32,23,44,3,72,31,
 38,1.739283,0.04791,67371008,F,F,,HS CAN,,110,F,F,74,E1,F2,66,7,5F,11,7D,,
 39,1.747570,0.00829,67371008,F,F,,SW CAN,,240,F,F,45,34,53,A3,,,,,,
 40,1.758034,0.01046,67371008,F,F,,J1850 VPW,,FF,32,43,42,33,20,51,
 41,1.758869,0.00084,67371008,F,F,,J1850 PWM,,4,F1,F2,23,43,3,76,23,0,
 42,1.775379,0.01651,67371008,F,F,,MS CAN,,123,F,F,23,23,23,CD,A1,,,,,
 43,1.793597,0.01822,67371008,F,F,,HS CAN,,110,F,F,9,DD,2F,FC,B9,BE,F2,BE,,
 44,1.838650,0.04505,67371008,F,F,,HS CAN,,110,F,F,93,18,6E,F2,3B,8D,6,82,,
 45,1.891134,0.05248,67371008,F,F,,MS CAN,,123,F,F,23,23,23,5E,4C,,,,,
 46,1.896006,0.00487,67371008,F,F,,MS CAN,,110,F,F,12,1,,,,,,,,
 47,1.899560,0.00355,67371008,F,F,,HS CAN,,110,F,F,C0,1B,97,6C,3F,3F,87,C8,,
 48,1.904203,0.00464,67371008,F,F,,SW CAN,,240,F,F,45,34,53,E7,,,,,,
 49,1.906923,0.00272,67371008,F,F,,ISO9141/KW2K,,23,32,23,44,3,CB,8A,
 50,1.907174,0.00025,67371008,F,F,,J1850 PWM,,4,F1,F2,23,43,3,E0,23,0,
 51,1.913682,0.00651,67371008,F,F,,J1850 VPW,,FF,32,43,42,33,51,73,
 52,1.980480,0.06680,67371008,F,F,,HS CAN,,123,F,F,23,12,0,0,0,,,,,
 53,1.990650,0.01017,67371008,F,F,,HS CAN,,110,F,F,49,70,8B,76,30,9,1E,EE,,
 54,1.996728,0.00608,67371008,F,F,,J1850 VPW,,FF,40,60,3,
 55,2.070166,0.07344,67371008,F,F,,MS CAN,,123,F,F,23,23,23,78,55,,,,,
 56,2.077947,0.00778,67371008,F,F,,HS CAN,,110,F,F,A,FB,23,22,75,79,A9,D6,,
 57,2.083326,0.00538,67371008,F,F,,SW CAN,,240,F,F,45,34,53,C1,,,,,,
 58,2.095544,0.01222,67371008,F,F,,J1850 VPW,,FF,32,43,42,33,94,90,
 59,2.115277,0.01973,67371008,F,F,,J1850 PWM,,4,F1,F2,23,43,3,BE,23,0,
 60,2.133560,0.01828,67371008,F,F,,HS CAN,,110,F,F,33,3D,55,1B,90,A,81,20,,
 61,2.158451,0.02489,67371008,F,F,,MS CAN,,123,F,F,23,23,23,27,98,,,,,
 62,2.167939,0.00949,67371008,F,F,,ISO9141/KW2K,,23,32,23,44,3,B2,71,
 63,2.197315,0.02938,67371008,F,F,,MS CAN,,110,F,F,12,1,,,,,,,,
 64,2.198806,0.00149,67371008,F,F,,HS CAN,,110,F,F,21,9E,D1,67,8A,26,31,A3,,
 65,2.203965,0.00516,67371008,F,F,,SW CAN,,240,F,F,45,34,53,1,,,,,,
 66,2.215043,0.01108,67371008,F,F,,J1850 VPW,,FF,32,43,42,33,79,4F,
 67,2.221262,0.00622,67371008,F,F,,J1850 PWM,,4,F1,F2,23,43,3,41,23,3,
